Address;Status geocode;Formatted address;Latitude;Longitude;Type;Location Type;Street number;Street;Postal code;City;Country;Region;Department;Department number
17010010;Ok;R. Primeiro de Agosto - Centro, Bauru - SP, 17010-010, Brazil;-22.3215864;-49.0717674;postal_code;APPROXIMATE;;Rua Primeiro de Agosto;17010-010;;Brazil;São Paulo;Bauru;Bauru
17010180;Ok;R. Gustavo Maciel - Centro, Bauru - SP, 17010-180, Brazil;-22.3175029;-49.0722804;postal_code;APPROXIMATE;;Rua Gustavo Maciel;17010-180;;Brazil;São Paulo;Bauru;Bauru
17010001;Ok;R. Batista de Carvalho - Centro, Bauru - SP, 17010-001, Brazil;-22.3223108;-49.0711361;postal_code;APPROXIMATE;;Rua Batista de Carvalho;17010-001;;Brazil;São Paulo;Bauru;Bauru
17018620;Ok;R. José Ruíz Pelegrina - Vila Aviação, Bauru - SP, 17018-620, Brazil;-22.3537321;-49.0451772;postal_code;APPROXIMATE;;Rua José Ruíz Pelegrina;17018-620;;Brazil;São Paulo;Bauru;Bauru
17015301;Ok;R. Agenor Meira - Centro, Bauru - SP, 17015-301, Brazil;-22.3237392;-49.0727666;postal_code;APPROXIMATE;;Rua Agenor Meira;17015-301;;Brazil;São Paulo;Bauru;Bauru
17067150;Ok;R. Maj. Guilherme Gonçalves - Jardim Rosa Branca, Bauru - SP, 17067-150, Brazil;-22.3172886;-49.102356;postal_code;APPROXIMATE;;Rua Major Guilherme Gonçalves;17067-150;;Brazil;São Paulo;Bauru;Bauru
17018520;Ok;Av. Affonso José Aiello - Vila Aviação, Bauru - SP, 17018-520, Brazil;-22.366813;-49.0566324;postal_code;APPROXIMATE;;Avenida Affonso José Aiello;17018-520;;Brazil;São Paulo;Bauru;Bauru
17011066;Ok;Av. Duque de Caxias - Vila Cardia, Bauru - SP, 17011-066, Brazil;-22.3261773;-49.0575081;postal_code;APPROXIMATE;;Avenida Duque de Caxias;17011-066;;Brazil;São Paulo;Bauru;Bauru
17010001;Ok;R. Batista de Carvalho - Centro, Bauru - SP, 17010-001, Brazil;-22.3223108;-49.0711361;postal_code;APPROXIMATE;;Rua Batista de Carvalho;17010-001;;Brazil;São Paulo;Bauru;Bauru
17012191;Ok;Vila Nova Cidade Universitaria, Bauru - State of São Paulo, 17012-191, Brazil;-22.3348158;-49.0610352;postal_code;APPROXIMATE;;;17012-191;;Brazil;São Paulo;Bauru;Bauru
